Downloading 's3://us-west-2.elasticmapreduce/libs/hive/hive-script' to '/mnt/var/lib/hadoop/steps/s-1XHDQM3EGJJXO/.'
2014-12-08 00:28:34 GMT - ERROR missing required argument base-path
2014-12-08 00:28:39 GMT - INFO Running: hive '-f' 's3://mpprojectbucket/hive/hivescript/hive_query.hql' '-d' 'OUTPUT=s3://mpprojectbucket/hive/hiveoutput' '--hiveconf' 'reviewfile=s3://mpprojectbucket/hive/hivefullinput/' '--hiveconf' 'moviefile=s3://mpprojectbucket/hive/hivemoviefile'
1896	7654	3.6776315789473686	Lumiere Brothers' First Films	1
1909	4975	2.7889908256880735	D.W. Griffith: Years of Discovery 1909-1913	1
1914	10898	3.1818181818181817	Cabiria	1
1914	9103	2.8506493506493507	Tillie's Punctured Romance	2
1915	9001	3.3254437869822486	Chaplin's Essanay Comedies: Vol. 3	1
1915	13147	3.321243523316062	Chaplin's Essanay Comedies: Vol. 1	2
1915	3137	3.3149606299212597	Les Vampires	3
1915	14687	3.275	Chaplin's Essanay Comedies: Vol. 2	4
1915	8821	2.9430479183032205	The Birth of a Nation	5
1916	394	3.5720470006184293	20	1
1916	3387	3.4658493870402802	Intolerance	2
1916	15896	3.4027777777777777	Chaplin Mutuals: Vol. 3	3
1916	16157	3.2843450479233227	Chaplin Mutuals: Vol. 2	4
1917	9810	3.583547557840617	Chaplin Mutuals: Vol. 1	1
1917	4188	3.3115942028985508	Slapstick Masters	2
1917	4755	3.088888888888889	The Cook and Other Treasures	3
1918	237	3.3994252873563218	Broken Blossoms	1
1918	370	3.1095041322314048	Chaplin	2
1919	8539	3.7583434835566383	The Cabinet of Dr. Caligari	1
1919	5399	3.161290322580645	Daddy Long Legs	2
1919	12148	2.9130434782608696	Felix!: Felix the Cat 1919-1930	3
1919	5938	2.904255319148936	Male and Female	4
1919	17620	2.8445945945945947	Spiders	5
1920	13798	4.074979887369268	The Last of the Mohicans	1
1920	2847	3.3950686466797424	The Mark of Zorro	2
1920	3457	3.3141025641025643	Slapstick Symposium: The Harold Lloyd Collection	3
1920	3855	3.1170731707317074	Way Down East	4
1920	5110	3.102880658436214	The Mark of Zorro / Don Q: Son of Zorro	5
1921	11825	4.048748921484038	The Kid	1
1921	10264	3.3403141361256545	The Saphead (Silent)	2
1921	3790	3.245614035087719	Avant-Garde: Experimental Cinema of the 1920s and '30s	3
1921	9253	3.181286549707602	Destiny	4
1921	8264	3.1333333333333333	The Three Musketeers	5
1922	11318	3.8373737373737375	Nanook of the North	1
1922	14846	3.2987341772151897	Cyrano de Bergerac	2
1922	8833	3.289473684210526	Foolish Wives / The Man You Loved to Hate: Double Feature	3
1922	2021	3.260204081632653	Robin Hood	4
1922	5682	3.0236686390532546	Oliver Twist	5
1923	11586	3.4390243902439024	Three Ages	1
1923	7514	3.390103567318757	The Hunchback of Notre Dame	2
1924	3554	3.989648033126294	The Last Laugh	1
1924	2644	3.495741056218058	Thief of Bagdad	2
